score,at,content
4,2025 09 16 14 38 20,kenapa si akhir akhir ini shope ga bisa cod sedih banget di beberapa akun bukan cuma akun aku doang buka dong cod lagi aku ga pernah bermasalah juga abis co barang trus besoknya co lagi ga bisa cod
5,2025 09 16 14 20 18,cuma sayang sudah ngga bisa cod disini entah karena apa
5,2025 09 16 13 26 51,cod sesuai pengiriman cepat
1,2025 09 16 13 20 16,biasanya bisa cod tapi sekarang gak bisa waktu itu seperti itu juga setelah itu normal kembali tapi sekarang benar tidak bisa cod
5,2025 09 16 12 03 28,pake aplikasi shopee memang mudah tinggal pesan cod bayar dirumah shopee memang oke aku suka
2,2025 09 16 11 49 31,harusnya di tmbh fitur klo saldo shopeepay masi ada tapi gak cukup saat mau beli barang bisa di tmbh pke cod dong biar gak ribet tolong ya
5,2025 09 16 11 40 23,keren bisa cod
5,2025 09 16 11 24 44,dulu takut blja di shopee karna banyak barang yg ngak sesuai dengan gambar tp sekarang ada fitur cod cek dulu jd aman pengembalian atw pengajuan lain nya jd lebih gampang dengan berbagai tambahan untuk mempermudah
5,2025 09 16 09 06 52,jaminan pembelian sangat baik jika ada yg salah kita tolak cod langsung uang kembali via shopee pay dan retur produk dg cepat di ambil sesuai jadwal yg telah di tentukan kita utk di kembalikan krn pembeli itu mengandalkan jaminan via fihak ke tiga bravo shopee indonesia
5,2025 09 16 02 03 45,sudah ok tapi tipe cod nya di batasi itu aja kurangnya
2,2025 09 15 22 27 06,banyak barang tidak bisa cod
5,2025 09 15 21 35 10,kenapa akun saya gak bisa untuk cod
2,2025 09 15 20 54 43,ngak bisa pake cod sekarang mh
5,2025 09 15 19 54 51,sangat membantu dalam berbelanja tidak ribet dan bisa cod
1,2025 09 15 18 01 50,ga tau sekarang shopee aku ga bisa untuk coddd tolong di perbaiki donkkk shopeeeee
5,2025 09 15 14 57 04,udah beberapa kali cod dari shopee dan tidak pernah mengecewakan
5,2025 09 15 13 40 45,pembelian nya bagus tapi daerah saya tidak ada cod nya dulu ada sekarang sudah tidak ada
5,2025 09 15 11 53 09,terimakasih atas pengertian dan respon baik dari shopee akhirnya sdh bisa cod lagi trmksh
5,2025 09 15 11 15 50,saya sangat suka shopee belanja lebih praktis murah dan yang paling penting gratis ongkirnya dan banyak produk yang bisa cod sarangae shopeee sukses selalu buat kamu semoga aku juga bisa tambah penghasialn di shopeee dan bisa belanja terus di shopeee
4,2025 09 15 07 37 42,mantap tpi gak bisa cod
5,2025 09 15 03 44 30,pengiriman sangat cepat suka bgt dgn adax fitur cod
5,2025 09 14 23 07 08,mau belanja nda bisa cod npa ya
1,2025 09 14 22 12 45,kurir menemukan kurir yang tidak profesional dimana paket cod sering sekali tidak dikonfirmasi tidak diantar langsung direturn ke penjual dan seringnya costumer yg sering disuruh ambil ke tempat kurir berada warung kopi oleh sebab ini jadi males order melalui shopee kalau tidak terpaksa
5,2025 09 14 21 48 07,selama bisa cod saya suka shopee udah banyak saya pesan barang biasanya bisa cod tapi skrng knp ga bisa cod
1,2025 09 14 21 24 20,udah gk bisa cod
3,2025 09 14 19 16 56,ada apa dengan shopee kenapa gaada yang bisa cod akun lama ataupun akun baru semuanya gak bisa cod kurang puas dah belanja di shopee
5,2025 09 14 18 01 03,cod cek dulu pertahankan pedagang yg yang terbukti nipu keluarkan dari aplikasi shopee tanpa syarat
5,2025 09 14 17 44 41,aku slalu pakai shopee tapi sekarang suguh kecewa karna pitur cod bayar langsung nya ga ada memang bisa bayar dengan cara lain tapi masalahnya saya ga punya kartu bnk dan alfa indomart nya ga ada saya tinggal di kampung saya harap akun saya di shopee bisa kembali memakai pitur cod bayar di tempat
5,2025 09 14 16 59 00,gk bisa cod
5,2025 09 14 15 04 10,banyak pilihan dan bisa cod
5,2025 09 14 13 57 01,terimakasih shopee sudah memperlancar urusan publik semoga kedisplinannya bisa meningkat lagi terutama kurirnya yang sudah tetap mengantar barangnya khususnya ekpedisi spxnya dan apalagi yang sudah adanya cod cek dulu okeh terimakasih
5,2025 09 14 13 49 50,mantap bisa cod cek dulu orang nya pun ramah semua ini tolong juga katanya gtw tapi masi lama
1,2025 09 14 13 48 56,banyak banget paket fiktif yang datang padahal saya tidak sama sekali pesan hilangkan fitur cod dong
1,2025 09 14 11 41 56,kenapa di daerah saya ndak bisa cod tolong donk saya ada di daerah desa gunung wungkal kecamatan gunung wungkal kabupaten pati jawa tengah
5,2025 09 14 09 26 31,shopee sekarang sombong sistem nya sya nolak paket sekali itupun karna toko nya nipu eh malah cod syaa di non aktifkan saya butuh sistem cod karna saya jualan klau sistem tf trus barang nya ditipu gx sesuai syaa yg rugi dikembalikan pun sering diblok toko nya semoga sistem cod saya di aktifkan secepat nya baru sekali nolak padahl itupun slaah toko
5,2025 09 14 08 52 15,alhamdulillah saya bisa pesan cod lewat shopee terimakasih
5,2025 09 14 08 25 28,ngapa sekarang shopee dari pihak lapak pembayaran nya banyak yg gak bisa cod padahal banyak yg seneng cod tolol
5,2025 09 14 06 53 41,memudahkan konsumen dalam berbelanja apalagi ada layanan cek dulu kalau membeli cod
5,2025 09 14 00 44 40,aplikasi shopee memang luar biasa mempermudah kita untuk memilah barang membeli barang yg kita ingin kan dengan harga dan promo relatif murah tapi satu saran dari saya tolong metode cod nya jangan ngilang kadang ngilang jdi gk bisa cod harus transfer tapi the best lah
1,2025 09 14 00 37 00,menonaktifkan sistem cod secara sepihak saya sebagai pembeli tidak pernah menolak pesanan berpikir dulu untuk melanjutkan belanja di shopee lag
5,2025 09 13 23 18 09,mantap murah meriah n ada cod nya
1,2025 09 13 22 10 44,gabisa cod
1,2025 09 13 20 39 55,shopee express nya bobrok banget pengiriman paket gak sesuai estimasi mana paket cod orang suruh nunggu paket seharian tapi gak sampe
3,2025 09 13 20 37 16,tolong ya min saya mau co kadang gabisa cod kadang bisa itu maksudnya apa ya padahal ga pernah retur barang loh ini pengen co malah gabisa cod padahl kemarin bisa tolong sih diperbaiki lagi
5,2025 09 13 20 29 35,aplikasi yang bagus untuk jual beli respon cepat baik saat proses cod atau klaim refund
2,2025 09 13 20 11 57,lucunya barang yg dibeli cash selalu terlambat barang yg dibeli cod sangat cepat sekali mending cod saja
1,2025 09 13 19 21 15,sudah gk bisa cod lagi jarang yg bisa cod
5,2025 09 13 18 10 06,fitur cod knpa tdak aktif sih pdahal sya tiap co barang sesui bayar terus tlong min di perbaiki buat user yg amanah
5,2025 09 13 16 05 49,klo bisa semua pembayaran bisa cod saja
5,2025 09 13 14 35 34,sungguh sangat bagus belanja shopee ini walaupun susah gampang pesan cod
5,2025 09 13 14 03 16,semoga sistem cod tidak di hapus
5,2025 09 13 12 14 54,pastinya semua tidak ada yg sempurna ya kan tapi saran dari saya untuk kesempurnaan kedepannya kalo pesanan di batalkan dikarenakan barangnya habis kata penjual mohon jangan di matikan fitur cod nya ini saja lah yg lain ku rasa cukup baik
1,2025 09 13 11 20 40,antara cod dan transfer bank yaitu lebih cepat pengiriman cod dari pada transfer bank padahal yang cod belum tentu di bayar kok barangnya cepet si
1,2025 09 13 09 41 04,makin sepi ini shopee nanti untuk wilayah madura udah gak bisa cod lagi udah mulai pindah ke toktok
5,2025 09 13 09 40 20,oke tapi tidak boleh di cod napa ya
1,2025 09 13 08 37 38,knapa shopee ga bisa cod lagi
5,2025 09 13 07 47 23,kok sekarang gada metode cod nya tolong terbit kn lagi cod nya
4,2025 09 13 00 01 34,kenapa sekarang tidak bisa cod di shopee beri jawaban trima kasih
4,2025 09 12 19 13 59,di antara yg lain memang cuma shopee yg paling recomen hanya banyak barang macam speaker bluetooth tidak bisa cod dan ini lumayan merepotkan pembelian
1,2025 09 12 19 10 26,mau relog di hp baru koq disuru scan barcode di hp lama kan hp lama sudah dijual jadi g bisa masuk ke akun yg lama shi
5,2025 09 12 18 53 43,sedikit saran klw boleh tokonya semua harus sedia cod
1,2025 09 12 18 18 29,ini salah siapa shopee metode pembayaran cod saya diblokir oleh shopee karena saya membeli sebuah produk dari toko dan penjual dari toko tersebut menginformasikan bahwa produk yg saya pesan sedang kosong karna dari itu saya membatalkan pesanan
5,2025 09 12 16 52 15,lancar saya sll cod meski ada yg tdk sesuai deskripsi
5,2025 09 12 15 52 47,ya walaupun masih banyak penipu tapi soal sistem return barang ok banget walaupun metode cod tapi dana masih bisa di kembalikan
1,2025 09 12 12 51 45,shooope bisa apa si buat belanja aja org di suruh ngutang trs pakai cod ga bisa trs tolong perbaiki jgn org suruh ngutang kecewa deh
2,2025 09 12 12 32 35,lebih bagus ada uang cod baru berani mesan dari jauh karena kl datang bagus susah hati g jadi beli padahal bagus
